"word","count"
"womancard",344
"worse",344
"TrumpRally",342
"sure",341
"FBI",341
"destroy",340
"men",340
"having",339
"crap",339
"lot",338
"NEPrimary",337
"SenSanders",336
"oxminaox",336
"care",336
"political",336
"8zpUrUeGbC",336
"shit",335
"los",335
"friends",335
"either",332
"Sorry",331
"video",331
"day",331
"berniesanders",331
"shut",330
"Nation",330
"those",330
"these",330
"Your",327
"stand",327
"hope",326
"Mexico",326
"chicken",326
"might",325
"already",325
"shows",323
"One",323
"gonna",323
"realDenaldTrump",322
"Hear",321
"Women",321
"Election2016",319
"parody",318
"thought",317
"Killary",317
"Well",316
"Taco",315
"grill",315
"heck",314
"Trumps",312
"own",309
"until",309
"pathological",309
"money",308
"thinking",308
"Election",306
"try",306
"word",306
"Speaker",305
"Tell",304
"endorses",304
"trying",303
"ppl",302
"account",301
"policy",300
"put",300
"ads",300
"convention",299
"Trump’s",299
"returns",298
"QmhxHvdxnO",298
"last",297
"before",297
"didn",295
"Under",294
"policies",293
"SoCal4Trump",293
"knows",292
"typicaIdrugs",292
"something",291
"game",290
"Yes",290
"Los",290
"WVPrimary",289
"willbarrett",289
"attack",289
"Only",288
"HILLARY",288
"where",288
"General",287
"playing",287
"well",287
"family",285
"contender",285
"looks",285
"start",284
"anti",283
"Illegal",283
"Elections2016",283
"presidency",281
"Greta",281
"ist",280
"CAPrimary",279
"News",279
"feel",279
"PaulRyan",278
"Vito",278
"AMERICA",278
"Muslims",278
"WorldForBernie",277
"flag",277
"voted",277
"insult",277
"Watch",276
"pay",276
"worst",276
"endorse",276
"racism",275
"VoteTrump2016",274
"under",274
"black",273
"republican",272
"give",272
"hit",271
"Says",270
"case",270
"rafshmatko",270
"JohnKasich",269
"lol",269
"actually",268
"More",268
"hear",268
"gringo",268
"let’s",267
"anyone",267
"AND",267
"race",266
"trumptrain",266
"kupajo322",266
"conservative",266
"guy",266
"elect",265
"also",265
"attacks",265
"loose",265
"examined",264
"yourself",263
"record",263
"reality",263
"truth",262
"BobNBC",262
"Charleston",262
"Democrat",261
"democrat",261
"May",260
"niggas",259
"pull",258
"delegates",258
"run",258
"World",258
"easy",257
"3DTW7oAYfJ",257
"blackhistorymonth",257
"skrongmeat",256
"CNNHD",256
"Make",256
"1237",256
"cannot",256
"Poll",255
"NorthDakota",255
"cancel",255
"build",253
"Twitter",253
"Thanks",253
"zesty",252
"nytimes",251
"tax",251
"absolutely",250
"ccot",249
"SooperMexican",249
"which",249
"membership",249
"military",248
"L087oGNJuk",248
"newtgingrich",248
"serious",248
"TheDemocrats",248
"outreach",247
"jail",247
"AllRepublicans",247
"face",247
"two",247
"single",246
"defeating",245
"BernieOrBust",245
"nomination",245
"😂",245
"history",243
"clear",242
"From",241
"plans",241
"SouthDakota",240
"L4w8ASsIAQ",240
"lying",240
"mistake",239
"equate",239
"hispanics",239
"🇺🇸",239
"benshapiro",238
"things",238
"Day",238
"Dems",237
"Dear",237
"nevertrump",237
"crim…",235
"hard",235
"desnudo",235
"years",235
"micropene",235
"retrato",234
"Epic",234
"pintó",234
"Ángeles",234
"Pay",234
"while",233
"elizabethforma",233
"Then",232
"play",232
"ALL",232
"Wall",231
"sido",231
"use",231
"fun",231
"polls",231
"CruzFiorina",230
"RRYrevolucion",230
"sister",230
"drewwyatt",230
"destructive",230
"votes",229
"MikeRotondo86",229
"greta",229
"atacada",228
"eating",228
"easily",228
"future",228
"artista",228
"fascistas",228
"famoso",228
"competition",227
"Some",227
"para",226
"celebrating",226
"guys",226
"LOL",226
