"word","count"
"feel",66
"Black",66
"Alberto",66
"still",66
"wants",65
"points",65
"Harvey",65
"appointment",65
"Democrats",65
"running",64
"6e7Ukl3Xtf",64
"ChooseCruz",64
"KJjlOfWvdE",64
"help",64
"Kotcha301",64
"cKWKdW1…",64
"Vine",63
"Tell",63
"FeelTheBern",63
"promised",63
"course",63
"FareedZakaria",62
"Delegates",62
"next",62
"Scheme",62
"h…",62
"Hate",62
"presidential",62
"free",62
"Air’s",62
"Protest",62
"Convenience",62
"LyinTed",61
"stands",61
"were",61
"hung",60
"face",60
"drop",60
"Drudge",60
"faceswap",60
"“consistent”",60
"Let’s",59
"level",59
"field",59
"protesting",59
"M62boL4qYE",59
"With",59
"very",58
"sign",58
"Mike",58
"leave",58
"before",58
"Deny",58
"snapchat",58
"taking",58
"Media",58
"emgrundy",58
"things",58
"reservation",58
"“unpredictable",58
"When",58
"enforced",57
"Money",57
"HRnO3TGojj",57
"CNNPolitics",57
"Bernie",56
"paid",56
"getting",56
"look",56
"BobbyKnight",56
"spinning",56
"knows",56
"familiar",56
"be…",56
"TrumpForVets",56
"word",56
"Sick",55
"Rino",55
"Benghazi",55
"Area",55
"anti",55
"foxnation",54
"Like",54
"reverse",54
"dangerous",54
"able",54
"LATvives",54
"video",54
"industry",54
"SpeakerBoehner",54
"wait",53
"plan",53
"Florida",53
"China",53
"violence",53
"unfair",53
"father",53
"world",53
"AlwaysTrump",53
"WILL",53
"race",52
"hope",52
"🇺🇸",52
"hijacked",52
"Really",52
"winning",52
"LIVE",51
"last",51
"together",51
"those",51
"Liberal",51
"sentence",51
"enabling",51
"NEVER",50
"Epstein",50
"Please",50
"1001",50
"home",50
"RHandaNBC",50
"calls",50
"come",50
"Bill",50
"money",50
"worship",50
"helping",50
"offensive",50
"Trump’s",49
"chief",49
"gets",49
"didn",49
"best",49
"commander",49
"makes",49
"calling",49
"berniesande…",49
"understands",49
"indication",49
"maintain",49
"show",48
"give",48
"door",48
"8gDodCSWGj",48
"sunnyherring1",48
"Insiders",47
"used",47
"named",47
"seanhannity",47
"BryanDawsonUSA",47
"AMERICA",47
"BanWahhabism",47
"happen",47
"First",47
"MichaelLaRosaDC",47
"Latest",47
"coalminers",47
"point",47
"JoeBobMr",46
"between",46
"DavidRomeiPHD",46
"don’t",46
"endorsed",46
"corporatepigs29",46
"freeway",45
"Poll",45
"KatrinaPierson",45
"left",45
"anything",45
"McCain",45
"channel",45
"Visit",45
"aren’t",45
"online",45
"conservative",45
"Mexico",45
"enforce",45
"nominee",45
"T…",45
"Need",44
"6tLAcIJO3U",44
"John",44
"PimpingPolitics",44
"ahead",44
